text,stars,date
My first visit to OHSO Paradise Valley was mediocre until our server came up  we didn t have to wait more than a minute before our server Courtney was asking what we would like to drink and asking if we had any questions about the menu  we had TONS of questions  as we are very big beer and food connoisseurs  she was able to answer every question we had as well as give us tons of recommendations  She didn t seem like your average server  she was very upbeat  had a great attitude and just an all around good vibe  as a local business owner myself I can really appreciate exceptional customer service   This place is pretty cool the way it s set up  you can bring in your dog as well as play games  Food is pretty good  price is fair   BUT the service  it was impeccable   We will definitely come back and request Courtney again ,5,2016-03-30
Friendly staff   Ordered the brisket sandwhich and extra onion strings instead of fries  The onion strings were cooked earlier and tasted room temperature       I didn t eat them   The brisket appeared to be either a beef and sauce pre made item or they make a big batch and then hold it until it is served   The onion strings take a second so I don t know why they don t come out fresh and hot   Same with the brisket  Beef can be held and heated up with either steam or adding the sauce when heating  It tasted like it had been sitting all day s  and waiting for ME  Rather than me waiting for it ,2,2018-08-05
I really enjoyed this OHSO location when it first opened  but it has been steadily trending downwards   The decision to stop selling other breweries  beer angered me and on top of that  they raised the happy hour prices on the pitchers of beer that they make in house   Food quality also seems to be hit or miss depending on the crowds and time of day   Do not order food to go as the portion size will be cut in half   The manager that resembles John Cusack is rude and inefficient   I will not be back to OHSO unfortunately ,3,2018-02-09
Try this place if you want to go somewhere trendy but there is a reason why they can it a  nano brewery    They had only   OSOH brewed beers on tap   However  they do have a large selection of Arizona and regional beers   If you re looking for a new local craft brew try somewhere else ,4,2015-08-15
We went here at   PM  Small  but really impactful menu   amazing   friendly service  Awesome ,5,2017-10-29
HUGE shout out to Joelle  our server  and Mark  the manager  at OHSO brewery  It was our first visit  and we elected to sit outside on the patio  Talk about an atmosphere  There s music  and mist machines to keep you cool  table tennis and other games to keep you occupied while you wait for your food  Joelle was an absolute sweetheart  She suggested great beers  and food  and had a great upbeat attitude   Just before she brought our ticket  I asked for some stickers and a growler  because my fianc  and I are using growlers from different breweries as the centerpieces on the tables at our wedding  When she came back  she came with a box  filled with OHSO swag  She said that she had mentioned to Mark what we were using the growler for and he put together a gift box for us   Thanks so much for a great experience  Great food  great beer  fun atmosphere  and AMAZING people    kudos to you    can t wait for the next visit ,5,2017-05-21
Brought wife here for bday dinner with some friends   Had heard good things     Overall neat concept   Lots of beers on tap fun to sample Holiday Brews   Our company for night had worked in service industry for years   While ordering samples for beers our friend commented to wait staff  aren t you going to write these down   while order  several samples   Oh No i never get it wrong   Well Guess what   Both parties drink orderes were wrong    Asked for a Glass of water without a cucumber  had to ask multiple times took about    minutes for just the glass of water   Food was ok   Before ordering the Brisket and MAC specifically asked server if there was a good portion of meat in it   She assured me there was a hearty serving   Sauce on Mac was runny and Brisket serving was minimal   Tried to get server attention but too busy     For a Pub a Good hearty portion would have been expected   Would not make it a point to travel to get here but if in area may stop in again  Hopefully just an off night  ,3,2015-12-21
Our party waited for over an hour to get in  which was    minutes longer than we were told it would take  We ask  and were told that others were being seated because of our large party size  there were five of us  and a group of   had just been seated   Anyway  we finally got seated and were given greasy paper menus that should have been thrown away  Our food   two salmon sandwiches and two pastrami sandwiches  arrived fairly quickly  but it took    minutes to catch our server for catsup  the runners who brought the food never asked if we wanted any   Never got a refill on my iced tea  The place is noisy  and by the size of the crowd  very popular with a certain demographic  I guess I m not a part of that demographic  I doubt I ll be back ,2,2016-07-30
I have liked the OHSO in Arcadia  Tried the PV location with a group recently and was very disappointed  The service was slow for the time and small crowds  The food was subpar  The type of food that will make you think twice about returning  Burnt sweet potato fries  undercooked and overcooked burgers  Sickly looking chips and guacamole  They serve the burgers in foul smelling mini cast iron skillets  Anyway  OHSO has a cool patio and bar but the food was terrible ,1,2017-09-10
One of my favorite places to go for happy hour  Love the monster mimosa  The salads and burgers are delicious  Staff is always friendly ,5,2018-03-31
I have only good things to say about this place  I love restaurants that don t shun parents who bring their kids but would also like to enjoy a drink or two  We re all still humans    Been to the Indian School location once and to Tatum three times  never disappointed  Great value for the money  tasty food  yummy beer and cocktails  The mimosa with brunch is potent haha  Overall very happy with this place  Can t wait to have out of town guests  we ll definitely bring them here   The only thing I would suggest is the table tops on the patio tables  They re like small counters per person  and cut off so that if you had several plates and glasses it would be hard to fit everything  Wish they just built one long tabletop per table  But otherwise very happy with our visits here ,5,2015-10-18
I want to love this place because it is an independently owned restaurant in my neighborhood where we are sorely lacking options  They ve made good use of the space by capitalizing on the outdoors with tables and games and it appears that they are dog friendly  They also have a bang up bloody mary  I will go back just for it    It appears that the beers are quite good but I just haven t had the right thing on the menu yet  I keep falling back to the grilled asparagus which is hard to mess up  Service is ok but not more than ok  I asked for a side of eggs during brunch and was told that my only option was scrambled  I m pretty sure that means that they are powder or some other weird mix and definitely not fresh   This could be great but it s going to take a few iterations to get there ,3,2015-04-13
Good but expensive typical Scottsdale  Server was really good and knowledgeable on menu  Excellent choice of brewed beers  Some of the food was better than others  didn t care much for the weird salad  They have foosball tables outside and dog friendly ,3,2016-05-13
Liked it on a Sunday  not so much Friday night   Children everywhere with their mommies  daddies and guardians getting wasted   Too loud and crowded so the service was slow  Fans blowing on our food so tortillas were dried out   Beer lukewarm   Cackling ladies everywhere   Just be prepared unless this is your thing   Dogs are always the best   Hope everyone took Lyft home with their precious cargo  I e   kids and doggies   Won t be back ,1,2018-08-04
Where do you begin on such a fun place     Games for all ages outside  a wall to make funny sentences with magnets and great food and beer  what else could you want for a fun neighborhood bar   The atmosphere is all about fun and creativeness and it is very apparent the moment you walk in the door   You can sit outside  inside  or at one of the two bars   The beer menu has enough choices without having too many and the food menu has a wide selection of items to make anyone happy   I will definitely be returning to this place ,5,2015-05-25
Really cool brewery brewpub with an indoor outdoor setting   I came here for brunch and had one of the     mimosa entree deals  great price     I had the avocado toast  and it was very yummy    although it s kind of hard to screw that one up    Dog and family friendly   There was also a cornhole tournament going on during my visit  as there is a large outdoor area    Sadly  I didn t get to try any of the beers on my visit  but the list was full of local Arizona beers   If I return to Phoenix  I will stop by here again to try the beer ,5,2015-12-28
Finally got a chance to go to happy hour here  Sat in the dog friendly outdoor section     small plates and     signature cocktails were nice  as we sampled the wares  which were very good  Service was friendly and attentive    shout out to our server  Taryn  Nice atmosphere  Good music  Will definitely be back ,5,2016-05-05
I love this place   The atmosphere is so fun   Went last night and had the brisket mac n cheese   WOW  it was amazing   creamy cheesy  white sauce  big chunks of smoked BBQ brisket  French fried onions on top   SO good    and had enough for lunch the next day ,4,2016-04-04
Zero stars is more appropriate    My Wife and I have tried to eat here twice now with no luck    My Wife and I have visited the Arcadia location many times   on bicycle  with our pooches  with friends   we ve visited the N SDL location to without incident    This location however refuses to seat us  The first time we didn t want to wait the   hrs our hostess told us  no fault to them  The  nd time  we were told    min wIt to sit outside and    min wIt to sit inside   I walked inside to see if there were seats at the bar and saw   open tables  upon walking out I saw   open tables outside   not to mention I didn t see anyone waiting outside    Some of the worst service I ve experienced at any local eatery in Phx  I won t be trying a  rd time   if I ever do frequent Arcadia again I will praise them for their location and let them know what we think of the PV spot   Head to Oreganos maybe     mile up Tatum  All the service staff is friendly  beer and food is good  just can t bring your pooch ,1,2015-05-10
My first experience with OHSO was years ago when I was introduced to the arcadia location  Back then might have been my first time tasting fruit  flavored beer  Now that flavored beers are a norm I had acquired the taste of stout beers  Needless to say had the four peaks nitro brew hit the spot to compliment the artichoke dip with tortilla and pita bread  I really always have a good time at this place and the variety of taps are for basically any palette you desire ,4,2018-03-05
Always a great time here  Staff is friendly and beer is great  Love the concept and dog friendly patio ,5,2019-01-20
I love this new location  The food is awesome and they always have the best beer choices  The first time I came I had a bartender named Jeanette  She  is so fast and friendly  she s not here this time but I m sure these other bartenders will be just as good  All together this place is awesome ,5,2015-04-18
Atmosphere at PV location is the best  Large  open  airy space  Huge outdoor patio  Family friendly  dog friendly  Food is creative brew pub fare  Turkey burger  chicken and waffles  biscuits and gravy  Green Chile burger  and pretzel board are must haves ,5,2018-04-29
I love this place  Boom Dynamite is easily one of my favorite beers  I got it the first time I went  and now it s very tough to pick anything else  Last time I went I got carnitas tacos and they were scrumptious as well  I m excited about trying more of their food  Five stars is for the relaxing atmosphere and oh so  OHSO  hehe  tasty beer ,5,2017-09-06
Love the atmosphere of this OHSO location  My go to favorite dish is the Veggie Burger with a side of Jalape o Polenta and a Orange Petal beer ,5,2018-05-07
This is a very cool place   Sitting outside    nice day   Nice atmosphere getting ready to try their turkey burger  The cucumber water is refreshing   Brian tried their Blueberry milkshake beer it s very good    Sweet potato fries are the best and the Turkey Burger is the best one I ve ever had   This is now my favorite burger place I think Brian s too he had the brisket and ate the whole thing  ,5,2018-05-03
I came here with my dog Bailey to have a play date with her brother  OHSO was a great location for the pups to play  I was at first skeptical of the outdoor seatings mainly for the dogs sake being that it s hot in Arizona but with their misters going on  the weather outside did not seem that bad    They even have a beer water fountain for dogs as well as a play area with artificial grass    I ordered their short rib tacos and it wasn t too bad  I didn t get to try any of their beer selections last time but I m looking forward to it on my next visit    P s  they offer a meat patty option for dogs and they give treat bags up front for when you leave ,5,2018-08-21
First time eating here  and not only is the food great  but they cater to our furry friends  Loved my sol salad and the sweet potatoes were delicious   We sat in their outdoor patio area and I just loved the bicycles that had fans built into them  Perfect way to cool off in the Arizona heat  Complete bonus  were the gorgeous views of the mountains ,5,2018-09-04
We love OHSO  We ride our bikes there and take the dog  Love the dog treats too ,5,2016-01-19
We ve been wanting to try this place out for awhile now considering it s in the same vicinity as where we practice yoga  Corepower Yoga  and hoped to make it a potential regular spot but the customer service was not very welcoming  food was just okay   and some items on the menu are overpriced for what they give you  For starters we arrived around    p and the place was not busy  The hostess gave us a mediocre welcome  we could tell she didn t want to be there  and sat us to the very first table she saw outside which was next to hostess stand  Our server was Natasha who was nice and personable  The appetizer section on the menu says  to share with    so we thought between the   of us  the buffalo chicken dip with chips sounded good  We looked at the price which was        so we assumed for that price it would be a big serving size  Nope  It came out super quick so I m guessing we can roll out the freshness of it  at least give us warm chips   For        we could feed a whole potluck making our own buffalo dip and probably have left overs  When we asked if we could have more chips because it wasn t enough for    photo attached  it didn t come out till the end when we were ready to close our checks only to find out later we got charged another     for this dip  We got the Arizona burger for our meal which was pretty good  I was never asked if I wanted a soda refill till the end which by now we were ready to go home      ,2,2019-04-18
We live across the street so we go here often  Beer selection is great   love that they also have cocktails  Really large space with option of indoor or outdoor  with games  The food is delicious  We sometimes go for the Sunday BBQ  I recommend checking it out ,5,2018-08-05
Used to love this place and the     beer brunch  Over time I ve watched the portions shrink and the plates change to help hide the fact you re getting half the amount of food  Okay  fine  No biggie  I m sure     beer brunch wasn t profitable and money needs to be made to keep lights on  I get it  Restaurant business is hard  I didn t need that much food anyway  I d take half of it home  But now they ve changed their diced potatoes into  potato barrels   Which is a fancy word for tater tots  And not the good kind  I paid     for a handful of salty tater tots mixed with a scrambled egg and cheese and pico  Oh  and a small spoonful of guacamole  Denny sserves a better quality breakfast  DENNY S  I m heartbroken and won t be returning ,1,2019-10-20
Ive been to the one in Arcadia So I m trying this one out  Im not a IPA or Hoppy guy Im a Newcastle loving ale guy and    ale is the closest to a decent smooth ale  its not Newcastle but the      will do   Wasnt in the mood to eat and if i was the brisket with mac would be my choice but again only drinking So the bartender introduced me to     minute Not to be confused with     minutes the best music MTV ever put out  Anyways     minute is     WTF im in heaven with this boozy intense bold IPA Ill give this place   stars but my only complaint is no Lakers channels Why    ,5,2018-12-24
Loveee OHSO  You ll catch me their almost every Sunday enjoying a mimosa and bomb food with my pup  The vibe  customer service and overall food is great ,5,2019-04-12
I invited some friends to a happy hour here and it was a blast  Then I went back with my hubby to listen to some live music and it was again so amazing  I think the dogs steal the show  but the servers are all fun and very informative and will re fill your drink if you spill it  or well if someone spills it    The pretzels are terrific and the patio is so chill  Go when the band Suga beat is playing  They are the very best ,5,2019-05-09
